address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
2358 Norwalk Ave,Los Angeles,CA,90041,1275000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2358-Norwalk-Ave-Los-Angeles-CA-90041/20851300_zpid/
Alumni Ave,Los Angeles,CA,90041,NA,NA,NA,NA,30,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/191088368_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Oak Grove Dr,Los Angeles,CA,90041,NA,NA,NA,NA,156,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/135703786_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Yosemite Dr,Los Angeles,CA,90041,NA,NA,NA,NA,36,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/190923679_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
5206 San Rafael Ave,Los Angeles,CA,90042,839000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/5206-San-Rafael-Ave-Los-Angeles-CA-90042/20762479_zpid/
6166 York Blvd,Los Angeles,CA,90042,660000,NA,NA,NA,7,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/6166-York-Blvd-Los-Angeles-CA-90042/20770654_zpid/
222 S Avenue 63,Los Angeles,CA,90042,NA,NA,NA,NA,6563,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/222-S-Avenue-63-Los-Angeles-CA-90042/20772690_zpid/
Sycamore Ter,Los Angeles,CA,90042,NA,NA,NA,NA,264,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/122550112_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
421 N Avenue 50,Los Angeles,CA,90042,1215000,NA,NA,NA,93,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/421-N-Avenue-50-Los-Angeles-CA-90042/20762581_zpid/
857 Chestnut Ave,Los Angeles,CA,90042,749000,NA,NA,NA,39,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/857-Chestnut-Ave-Los-Angeles-CA-90042/20773361_zpid/
1428-1430 Hazelwood Ave,Los Angeles,CA,90042,726000,NA,NA,NA,35,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/1428-1430-Hazelwood-Ave-Los-Angeles-CA-90042/2096774739_zpid/
5701 Baltimore St,Los Angeles,CA,90042,750000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/5701-Baltimore-St-Los-Angeles-CA-90042/20770341_zpid/
424 N Avenue 50,Los Angeles,CA,90042,695000,NA,NA,NA,51,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/424-N-Avenue-50-Los-Angeles-CA-90042/20763526_zpid/
424426 N Avenue 50,Highland Park,CA,90042,695000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/424426-N-Avenue-50-Highland-Park-CA-90042/2094559106_zpid/
N 424 426 Ave # 50,Highland Park,CA,90042,695000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/N-424-426-Ave-50-Highland-Park-CA-90042/2094558442_zpid/
417 N Avenue 61,Los Angeles,CA,90042,630000,NA,NA,NA,46,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/417-N-Avenue-61-Los-Angeles-CA-90042/20770427_zpid/
1420 N Avenue 51,Los Angeles,CA,90042,1000000,NA,NA,NA,86,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1420-N-Avenue-51-Los-Angeles-CA-90042/20768519_zpid/
6608 N Figueroa St,Los Angeles,CA,90042,549000,NA,NA,NA,61,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/6608-N-Figueroa-St-Los-Angeles-CA-90042/20771787_zpid/
610 N Avenue 54,Los Angeles,CA,90042,NA,NA,NA,NA,2206,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/610-N-Avenue-54-Los-Angeles-CA-90042/20767633_zpid/
